Basin, Type, File
59, stage, data/Tide/2000_2002/Cape_Sable_1999-09-01_2003-01-01.csv
60, stage, data/Tide/2000_2002/Region2_1999-09-01_2003-01-01.csv
61, stage, data/Tide/2000_2002/Region3_1999-09-01_2003-01-01.csv
62, stage, data/Tide/2000_2002/Long_Key_1999-09-01_2003-01-01.csv
63, stage, data/Tide/2000_2002/Long_Key_1999-09-01_2003-01-01.csv
64, stage, data/Tide/2000_2002/Lignumvitae_Key_1999-09-01_2003-01-01.csv
65, stage, data/Tide/2000_2002/Snake_Creek_1999-09-01_2003-01-01.csv
66, stage, data/Tide/2000_2002/Tavernier_Creek_1999-09-01_2003-01-01.csv
67, stage, data/Tide/2000_2002/Garden_Cove_1999-09-01_2003-01-01.csv
68, stage, data/Tide/2000_2002/Little_Card_Sound_bridge_1999-09-01_2003-01-01.csv
